Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Pore Complex Assembly (GO:0046931)	3/19	2.0961727220472853E-4	0.17069214480258627	0	0	30.774793388429753	260.6694921363266	P2RX7;NUP205;NUP107
Positive Regulation Of Killing Of Cells Of Another Organism (GO:0051712)	2/5	3.7667628875319285E-4	0.17069214480258627	0	0	108.59562841530055	856.1814426244825	FCER2;IFNG
Positive Regulation Of Cell Killing (GO:0031343)	2/6	5.627213564920427E-4	0.17069214480258627	0	0	81.44262295081967	609.4128305229176	FCER2;IFNG
Nuclear Pore Complex Assembly (GO:0051292)	2/10	0.0016609499087460063	0.20678519953829658	0	0	40.71311475409836	260.57881938904427	NUP205;NUP107
Positive Regulation Of Nitric-Oxide Synthase Biosynthetic Process (GO:0051770)	2/10	0.0016609499087460063	0.20678519953829658	0	0	40.71311475409836	260.57881938904427	FCER2;IFNG
Positive Regulation Of Bone Mineralization (GO:0030501)	3/38	0.0016748124614881542	0.20678519953829658	0	0	14.055017709563165	89.84043334076273	RXRB;P2RX7;SLC20A2
Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Dependent Decay (GO:0000288)	3/39	0.0018062248472574438	0.20678519953829658	0	0	13.663911845730027	86.30832232701844	PAN2;DIS3;DCPS
Positive Regulation Of Ossification (GO:0045778)	3/41	0.0020879447737656175	0.20678519953829658	0	0	12.943453675511092	79.88149587667304	RXRB;P2RX7;SLC20A2
Positive Regulation Of Biomineral Tissue Development (GO:0070169)	3/43	0.002395537611775861	0.20678519953829658	0	0	12.29504132231405	74.19009409618413	RXRB;P2RX7;SLC20A2
Exonucleolytic Catabolism Of Deadenylated mRNA (GO:0043928)	2/12	0.0024163697244848196	0.20678519953829658	0	0	32.5672131147541	196.23338369839547	DIS3;DCPS
Gene Expression (GO:0010467)	7/296	0.002499601313100288	0.20678519953829658	0	0	4.054919705438737	24.295554365420355	SNRNP40;NUP107;DIS3;MRPS11;GZMA;MRPL24;MRPL43
Regulation Of Nitric-Oxide Synthase Biosynthetic Process (GO:0051769)	2/13	0.0028441530169396405	0.2111895042741678	0	0	29.605067064083457	173.55940857823208	FCER2;IFNG
Mitochondrial Translation (GO:0032543)	4/98	0.003245795770377848	0.2111895042741678	0	0	7.014893617021277	40.198109408804186	PTCD3;MRPS11;MRPL24;MRPL43
Nuclear Pore Organization (GO:0006999)	2/14	0.0033047564595253555	0.2111895042741678	0	0	27.136612021857925	155.01497890462775	NUP205;NUP107
Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0030071)	3/49	0.00348114567484892	0.2111895042741678	0	0	10.688106360043118	60.498891214238455	SMARCB1;SMARCD3;NSMCE2
Mitochondrial Gene Expression (GO:0140053)	4/103	0.00387980453382589	0.2173471294542461	0	0	6.658922558922559	36.97014163886033	PTCD3;MRPS11;MRPL24;MRPL43
Positive Regulation Of T Cell Activation (GO:0050870)	4/107	0.004443736684943613	0.2173471294542461	0	0	6.399029126213592	34.65880332442269	SMARCB1;SMARCD3;LCK;HLA-DOA
Negative Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051444)	2/17	0.004879339373469417	0.2173471294542461	0	0	21.70601092896175	115.53557074850708	BAG2;BUB3
Nicotinamide Nucleotide Metabolic Process (GO:0046496)	2/17	0.004879339373469417	0.2173471294542461	0	0	21.70601092896175	115.53557074850708	QPRT;KMO
Nuclear-Transcribed mRNA Catabolic Process, Exonucleolytic (GO:0000291)	2/17	0.004879339373469417	0.2173471294542461	0	0	21.70601092896175	115.53557074850708	DIS3;DCPS
Nucleosome Disassembly (GO:0006337)	2/18	0.005467094139624529	0.2173471294542461	0	0	20.348360655737704	105.99477424850924	SMARCB1;SMARCD3
Positive Regulation Of Glycolytic Process (GO:0045821)	2/18	0.005467094139624529	0.2173471294542461	0	0	20.348360655737704	105.99477424850924	P2RX7;IFNG
Regulation Of Bone Mineralization (GO:0030500)	3/58	0.005599427162975895	0.2173471294542461	0	0	8.935086401202105	46.3292358936625	RXRB;P2RX7;SLC20A2
Endoplasmic Reticulum To Golgi Vesicle-Mediated Transport (GO:0006888)	4/115	0.005732231985606491	0.2173471294542461	0	0	5.935435435435435	30.63664208299068	TMED10;YIPF4;RANGRF;WHAMM
Ameboidal-Type Cell Migration (GO:0001667)	2/20	0.006734529108868724	0.2269785736692792	0	0	18.0856102003643	90.43722743397821	AMOTL1;AMOT
