Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
T Cell Migration (GO:0072678)	3/17	1.0978197783324695E-4	0.06422245703244947	0	0	39.070773263433814	356.20879381432326	GPR183;CCR6;CXCL16
Regulation Of Alpha-Beta T Cell Differentiation (GO:0046637)	2/7	6.408256491113056E-4	0.1874415023650569	0	0	72.30181818181818	531.6174203971442	PRDM1;SH3RF1
T Cell Chemotaxis (GO:0010818)	2/10	0.0013581911701031112	0.23136607378096347	0	0	45.18181818181818	298.27235807102574	GPR183;CXCL16
Intrinsic Apoptotic Signaling Pathway In Response To Oxidative Stress (GO:0008631)	2/11	0.0016539467166369409	0.23136607378096347	0	0	40.15959595959596	257.20578274015594	DIABLO;PDK1
Regulation Of Lymphocyte Migration (GO:2000401)	2/12	0.001977487810093705	0.23136607378096347	0	0	36.14181818181818	225.01635860745026	SPNS2;CCR6
Regulation Of Nuclear-Transcribed mRNA poly(A) Tail Shortening (GO:0060211)	2/14	0.002706669841645333	0.25910012309915337	0	0	30.115151515151513	178.04186714438933	BTG2;TENT4B
Dendritic Cell Chemotaxis (GO:0002407)	2/15	0.0031116888600155428	0.25910012309915337	0	0	27.797202797202797	160.46184539900213	GPR183;CCR6
Regulation Of Synaptic Transmission, GABAergic (GO:0032228)	2/16	0.003543249546655089	0.25910012309915337	0	0	25.81038961038961	145.6405699331324	ZDHHC12;CNTNAP4
Epithelial Cell Development (GO:0002064)	2/18	0.00448478018606296	0.26235964088468317	0	0	22.581818181818182	122.10137669299964	DACT2;EXPH5
Dendritic Cell Migration (GO:0036336)	2/18	0.00448478018606296	0.26235964088468317	0	0	22.581818181818182	122.10137669299964	GPR183;CCR6
Regulation Of Mitotic Cell Cycle (GO:0007346)	4/125	0.0053729716682840096	0.2857444023587405	0	0	6.05050505050505	31.622203131280454	BTG2;CDC25C;BRINP3;NEK11
Heparan Sulfate Proteoglycan Biosynthetic Process (GO:0015012)	2/23	0.007282073349279486	0.2988348727417015	0	0	17.200865800865802	84.66850385939397	NDST1;EXTL1
Regulation Of T Cell Migration (GO:2000404)	2/23	0.007282073349279486	0.2988348727417015	0	0	17.200865800865802	84.66850385939397	SPNS2;CCR6
Regulation Of Neuron Differentiation (GO:0045664)	3/79	0.00993069538718871	0.2988348727417015	0	0	7.174794785127958	33.09104878012383	LTK;GDPD5;BRINP3
Nuclear-Transcribed mRNA Catabolic Process (GO:0000956)	3/85	0.012108085778761777	0.2988348727417015	0	0	6.647795927500559	29.342585476964032	CTIF;NLRP6;TENT4B
Sensory Perception Of Mechanical Stimulus (GO:0050954)	3/89	0.013700032321904226	0.2988348727417015	0	0	6.3373159803712396	27.18934852823279	CEACAM16;SPNS2;MYO3A
Sensory Perception Of Sound (GO:0007605)	3/92	0.014968527923289962	0.2988348727417015	0	0	6.122770848366148	25.726691739165	CEACAM16;SPNS2;MYO3A
Negative Regulation Of Mitotic Cell Cycle (GO:0045930)	2/34	0.015514716330804522	0.2988348727417015	0	0	11.281818181818181	46.99967395098967	BTG2;BRINP3
Regulation Of Protein Secretion (GO:0050708)	3/102	0.019663076017159442	0.2988348727417015	0	0	5.5015290519877675	21.61557760166972	GOLPH3L;KCNA5;EXPH5
Monoatomic Cation Transmembrane Transport (GO:0098655)	5/281	0.02100010215949103	0.2988348727417015	0	0	3.3204659352566708	12.827716896207981	SLC6A18;KCNA5;OTOP2;LRRC55;SLC39A3
