Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
B Cell Receptor Signaling Pathway (GO:0050853)	4/46	6.6463302301814E-4	0.3392887699496756	0	0	11.149619611158073	81.57368895951831	LCK;BLNK;BCL2;BTK
Antigen Receptor-Mediated Signaling Pathway (GO:0050851)	6/134	0.0011063915734548606	0.3392887699496756	0	0	5.529285179640719	37.635916674862784	LCK;BTK;BCL2;BLNK;CD3G;CD3D
Regulation Of Lymphocyte Apoptotic Process (GO:0070228)	2/7	0.0015182716250434199	0.3392887699496756	0	0	46.3672514619883	300.9319323525674	BTK;CD3G
mRNA Pseudouridine Synthesis (GO:1990481)	2/8	0.0020128647561129787	0.3392887699496756	0	0	38.63742690058479	239.8687314915621	TRUB2;PUS1
Regulation Of T-helper 1 Type Immune Response (GO:0002825)	2/8	0.0020128647561129787	0.3392887699496756	0	0	38.63742690058479	239.8687314915621	MYDGF;IL12RB1
Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:0008625)	3/30	0.0021749280124979207	0.3392887699496756	0	0	12.941176470588236	79.33924334071142	DIABLO;BCL2;FASLG
Second-Messenger-Mediated Signaling (GO:0019932)	4/72	0.00352123716707138	0.36523921880996557	0	0	6.8774799860772715	38.85049162173263	EDN2;RCAN3;BTK;CCR6
Response To Iron Ion (GO:0010039)	2/12	0.004637908191431057	0.36523921880996557	0	0	23.177777777777777	124.54559964711954	TFR2;BCL2
Exonucleolytic Catabolism Of Deadenylated mRNA (GO:0043928)	2/12	0.004637908191431057	0.36523921880996557	0	0	23.177777777777777	124.54559964711954	DIS3;DCPS
Pseudouridine Synthesis (GO:0001522)	2/12	0.004637908191431057	0.36523921880996557	0	0	23.177777777777777	124.54559964711954	TRUB2;PUS1
Endoplasmic Reticulum Mannose Trimming (GO:1904380)	2/13	0.00545013624169113	0.36523921880996557	0	0	21.06964380648591	109.81739962063325	EDEM3;RNF185
Calcium-Mediated Signaling (GO:0019722)	4/85	0.006356004328907877	0.36523921880996557	0	0	5.769888231426693	29.186144999917545	EDN2;RCAN3;BTK;CCR6
Alpha-Beta T Cell Activation (GO:0046631)	2/15	0.007253977195795924	0.36523921880996557	0	0	17.826360773729196	87.81631438144224	CD3G;CD3D
tRNA Wobble Base Modification (GO:0002097)	2/15	0.007253977195795924	0.36523921880996557	0	0	17.826360773729196	87.81631438144224	ELP6;MTO1
tRNA Wobble Uridine Modification (GO:0002098)	2/15	0.007253977195795924	0.36523921880996557	0	0	17.826360773729196	87.81631438144224	ELP6;MTO1
Mitochondrial Respiratory Chain Complex Assembly (GO:0033108)	4/90	0.0077592222740386334	0.36523921880996557	0	0	5.433053529654603	26.39851803851366	NDUFA8;LYRM7;NDUFAF5;COA8
rRNA Metabolic Process (GO:0016072)	4/91	0.008062333948787711	0.36523921880996557	0	0	5.370332585186697	25.88796851836009	DIS3;PES1;DIS3L;MRTO4
Protein Alpha-1,2-Demannosylation (GO:0036508)	2/16	0.008243425829305352	0.36523921880996557	0	0	16.552213868003342	79.42313773345755	EDEM3;RNF185
Cellular Defense Response (GO:0006968)	3/48	0.008271371326458827	0.36523921880996557	0	0	7.75764705882353	37.19756827591976	FCMR;CCR6;KIR2DL4
B Cell Activation (GO:0042113)	4/92	0.00837311830084407	0.36523921880996557	0	0	5.309037116729424	25.39168528657977	DCAF1;BLNK;BTK;BCL2
Nicotinamide Nucleotide Metabolic Process (GO:0046496)	2/17	0.009289807145354968	0.36523921880996557	0	0	15.44795321637427	72.27846258692112	QPRT;KMO
Nuclear-Transcribed mRNA Catabolic Process, Exonucleolytic (GO:0000291)	2/17	0.009289807145354968	0.36523921880996557	0	0	15.44795321637427	72.27846258692112	DIS3;DCPS
T Cell Receptor Signaling Pathway (GO:0050852)	4/95	0.00935226149622696	0.36523921880996557	0	0	5.1332336302750505	23.983171254500128	LCK;BTK;CD3G;CD3D
Defense Response To Symbiont (GO:0140546)	5/148	0.009365108174614502	0.36523921880996557	0	0	4.096736596736597	19.13489142028547	RTP4;APOBEC3G;IRF1;BCL2;RNF185
Regulation Of Mitochondrial Membrane Permeability (GO:0046902)	2/18	0.010392073899679458	0.3677884325162823	0	0	14.48172514619883	66.1338663901299	BCL2;SLC25A4
Neuron Apoptotic Process (GO:0051402)	2/19	0.011549192525652327	0.3677884325162823	0	0	13.629170966632268	60.80163643589166	DIABLO;BCL2
rRNA Catabolic Process (GO:0016075)	2/19	0.011549192525652327	0.3677884325162823	0	0	13.629170966632268	60.80163643589166	DIS3;DIS3L
Peptide Catabolic Process (GO:0043171)	2/21	0.014023918550640849	0.3677884325162823	0	0	12.19329024315174	52.0286589869924	ERAP2;CPQ
NAD Metabolic Process (GO:0019674)	2/22	0.015339525786894424	0.3677884325162823	0	0	11.583040935672514	48.386096326206	QPRT;KMO
Protein Alkylation (GO:0008213)	2/23	0.016705984261055403	0.3677884325162823	0	0	11.030910609857978	45.1383569857974	PRDM12;CAMKMT
Response To Endoplasmic Reticulum Stress (GO:0034976)	4/114	0.0172915326839667	0.3677884325162823	0	0	4.242495965572888	17.214090027113542	MBTPS1;RCAN3;BCL2;RNF185
Response To Metal Ion (GO:0010038)	3/64	0.018025931528963177	0.3677884325162823	0	0	5.7182256509161045	22.9640735206309	TFR2;BCL2;D2HGDH
Positive Regulation Of Macroautophagy (GO:0016239)	3/64	0.018025931528963177	0.3677884325162823	0	0	5.7182256509161045	22.9640735206309	UVRAG;SLC25A4;PAFAH1B2
Positive Regulation Of Natural Killer Cell Mediated Immunity (GO:0002717)	2/24	0.01812232646323013	0.3677884325162823	0	0	10.528973950026582	42.227614474226755	KLRK1;KIR2DL4
Activation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0006919)	3/67	0.02034211394021591	0.3677884325162823	0	0	5.449356617647059	21.22558168729639	LCK;DIABLO;FASLG
Extrinsic Apoptotic Signaling Pathway (GO:0097191)	3/67	0.02034211394021591	0.3677884325162823	0	0	5.449356617647059	21.22558168729639	DIABLO;BCL2;FASLG
Protein Secretion (GO:0009306)	3/67	0.02034211394021591	0.3677884325162823	0	0	5.449356617647059	21.22558168729639	AP1G1;RCAN3;MON1A
mRNA Modification (GO:0016556)	2/27	0.02266117094466988	0.3677884325162823	0	0	9.264093567251463	35.08407052096717	TRUB2;PUS1
Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0008277)	3/70	0.022814414417117488	0.3677884325162823	0	0	5.204565408252853	19.675145103044493	GRK5;NMT2;CAMKMT
Positive Regulation Of Defense Response To Virus By Host (GO:0002230)	2/28	0.024267626061163804	0.3677884325162823	0	0	8.907332433648223	33.122913968223706	APOBEC3G;IL12RB1
Defense Response To Virus (GO:0051607)	5/189	0.02441828722484541	0.3677884325162823	0	0	3.177245082815735	11.795277566308375	RTP4;APOBEC3G;IRF1;BCL2;RNF185
Alpha-Amino Acid Catabolic Process (GO:1901606)	2/29	0.025919315910968337	0.3677884325162823	0	0	8.576998050682262	31.329773724655823	MCCC1;KMO
Import Into Nucleus (GO:0051170)	3/74	0.0263537849051086	0.3677884325162823	0	0	4.910356255178128	17.85475936442431	NUP107;RANGRF;E2F3
Regulation Of Natural Killer Cell Mediated Cytotoxicity (GO:0042269)	2/32	0.03113692228456005	0.3677884325162823	0	0	7.71812865497076	26.77697418002294	KLRK1;KIR2DL4
Mitochondrial Membrane Organization (GO:0007006)	2/32	0.03113692228456005	0.3677884325162823	0	0	7.71812865497076	26.77697418002294	BCL2;SLC25A4
Protein Import Into Nucleus (GO:0006606)	3/79	0.031167286659613512	0.3677884325162823	0	0	4.586145510835913	15.906523978604174	NUP107;RANGRF;E2F3
ncRNA Catabolic Process (GO:0034661)	2/33	0.03296073849644028	0.3677884325162823	0	0	7.468779475570647	25.486748153450815	DIS3;DIS3L
Positive Regulation Of Organelle Organization (GO:0010638)	2/34	0.03482544167807793	0.3677884325162823	0	0	7.2350146198830405	24.29088928416562	UVRAG;ATL3
Purine Nucleotide Metabolic Process (GO:0006163)	2/34	0.03482544167807793	0.3677884325162823	0	0	7.2350146198830405	24.29088928416562	QPRT;KMO
Macrophage Activation (GO:0042116)	2/35	0.03673019691757393	0.3677884325162823	0	0	7.015417331206805	23.180033673925838	FCER2;EDN2
Protein Methylation (GO:0006479)	2/35	0.03673019691757393	0.3677884325162823	0	0	7.015417331206805	23.180033673925838	PRDM12;CAMKMT
Establishment Of Protein Localization To Organelle (GO:0072594)	3/85	0.0375094001435974	0.3677884325162823	0	0	4.249282639885222	13.95109054372674	NUP107;RANGRF;E2F3
Macromolecule Catabolic Process (GO:0009057)	3/85	0.0375094001435974	0.3677884325162823	0	0	4.249282639885222	13.95109054372674	UVRAG;DIS3;DIS3L
Blood Vessel Diameter Maintenance (GO:0097746)	2/36	0.038674180538602526	0.3677884325162823	0	0	6.8087375300997595	22.14598442629385	EDN2;SERPINF2
Regulation Of Defense Response To Virus By Host (GO:0050691)	2/37	0.04065657997306811	0.3677884325162823	0	0	6.613868003341688	21.181537867504435	APOBEC3G;IL12RB1
Regulation Of Endoplasmic Reticulum Tubular Network Organization (GO:1903371)	1/5	0.04251217773219479	0.3677884325162823	0	0	28.8125	90.98885818439754	ATL3
Regulation Of Fat Cell Proliferation (GO:0070344)	1/5	0.04251217773219479	0.3677884325162823	0	0	28.8125	90.98885818439754	E2F3
RNA Decapping (GO:0110154)	1/5	0.04251217773219479	0.3677884325162823	0	0	28.8125	90.98885818439754	DCPS
Activation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process By Cytochrome C (GO:0008635)	1/5	0.04251217773219479	0.3677884325162823	0	0	28.8125	90.98885818439754	DIABLO
Attachment Of GPI Anchor To Protein (GO:0016255)	1/5	0.04251217773219479	0.3677884325162823	0	0	28.8125	90.98885818439754	PIGK
Regulation Of Protein Depolymerization (GO:1901879)	1/5	0.04251217773219479	0.3677884325162823	0	0	28.8125	90.98885818439754	WDR1
Cellular Response To Granulocyte Macrophage Colony-Stimulating Factor Stimulus (GO:0097011)	1/5	0.04251217773219479	0.3677884325162823	0	0	28.8125	90.98885818439754	PDE1B
Cellular Response To Iron Ion (GO:0071281)	1/5	0.04251217773219479	0.3677884325162823	0	0	28.8125	90.98885818439754	TFR2
Cholesterol Import (GO:0070508)	1/5	0.04251217773219479	0.3677884325162823	0	0	28.8125	90.98885818439754	STARD5
Response To Granulocyte Macrophage Colony-Stimulating Factor (GO:0097012)	1/5	0.04251217773219479	0.3677884325162823	0	0	28.8125	90.98885818439754	PDE1B
Response To Manganese Ion (GO:0010042)	1/5	0.04251217773219479	0.3677884325162823	0	0	28.8125	90.98885818439754	D2HGDH
Double-Strand Break Repair Via Classical Nonhomologous End Joining (GO:0097680)	1/5	0.04251217773219479	0.3677884325162823	0	0	28.8125	90.98885818439754	UVRAG
succinyl-CoA Catabolic Process (GO:1901289)	1/5	0.04251217773219479	0.3677884325162823	0	0	28.8125	90.98885818439754	SUCLG2
Positive Regulation Of Killing Of Cells Of Another Organism (GO:0051712)	1/5	0.04251217773219479	0.3677884325162823	0	0	28.8125	90.98885818439754	FCER2
Female Gonad Development (GO:0008585)	1/5	0.04251217773219479	0.3677884325162823	0	0	28.8125	90.98885818439754	NUP107
Postsynaptic Density Assembly (GO:0097107)	1/5	0.04251217773219479	0.3677884325162823	0	0	28.8125	90.98885818439754	ZDHHC12
Protein C-linked Glycosylation Via 2'-alpha-mannosyl-L-tryptophan (GO:0018406)	1/5	0.04251217773219479	0.3677884325162823	0	0	28.8125	90.98885818439754	DPY19L4
Protein C-linked Glycosylation Via Tryptophan (GO:0018317)	1/5	0.04251217773219479	0.3677884325162823	0	0	28.8125	90.98885818439754	DPY19L4
mRNA 3'-Splice Site Recognition (GO:0000389)	1/5	0.04251217773219479	0.3677884325162823	0	0	28.8125	90.98885818439754	SF3A3
Regulation Of T-helper 17 Cell Lineage Commitment (GO:2000328)	1/5	0.04251217773219479	0.3677884325162823	0	0	28.8125	90.98885818439754	IL12RB1
Amino Acid Catabolic Process (GO:0009063)	2/38	0.04267659361871976	0.3677884325162823	0	0	6.4298245614035086	20.280339662603236	MCCC1;KMO
Lymphocyte Differentiation (GO:0030098)	3/91	0.04445897979591742	0.3677884325162823	0	0	3.958355614973262	12.323106456134568	DCAF1;LCK;BLNK
Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Dependent Decay (GO:0000288)	2/39	0.04473343075439897	0.3677884325162823	0	0	6.255729413624151	19.43676501698284	DIS3;DCPS
Release Of Sequestered Calcium Ion Into Cytosol (GO:0051209)	2/39	0.04473343075439897	0.3677884325162823	0	0	6.255729413624151	19.43676501698284	LCK;FASLG
