Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Positive Regulation Of Natural Killer Cell Mediated Immunity (GO:0002717)	4/24	8.151057254148182E-5	0.0937371584227041	0	0	20.608333333333334	194.0228796087765	RAET1E;LAMP1;KIR2DL4;HLA-E
Regulation Of Natural Killer Cell Mediated Cytotoxicity (GO:0042269)	4/32	2.594528364210253E-4	0.14918538094208955	0	0	14.714285714285714	121.49490983379295	RAET1E;LAMP1;KIR2DL4;HLA-E
Protein Autoubiquitination (GO:0051865)	5/71	6.62204442635868E-4	0.22359174100637866	0	0	7.828811676979217	57.30640218496088	SH3RF3;RNF19B;RNF183;RNF185;RNF41
Positive Regulation Of T Cell Mediated Immunity (GO:0002711)	4/43	8.186706935340958E-4	0.22359174100637866	0	0	10.558226495726496	75.04606465878524	RAET1E;IL12RB1;ZP3;HLA-E
Positive Regulation Of Natural Killer Cell Mediated Cytotoxicity (GO:0045954)	3/21	0.0010822693867441743	0.22359174100637866	0	0	17.08635578583765	116.67751503001489	RAET1E;LAMP1;HLA-E
Regulation Of Natural Killer Cell Cytokine Production (GO:0002727)	2/6	0.0013966136871799168	0.22359174100637866	0	0	51.03092783505155	335.4622535860817	KIR2DL4;HLA-E
Positive Regulation Of Natural Killer Cell Cytokine Production (GO:0002729)	2/6	0.0013966136871799168	0.22359174100637866	0	0	51.03092783505155	335.4622535860817	KIR2DL4;HLA-E
Positive Regulation Of Leukocyte Mediated Cytotoxicity (GO:0001912)	4/51	0.0015598078079387158	0.22359174100637866	0	0	8.757535460992909	56.60163895802948	RAET1E;LAMP1;IL12RB1;HLA-E
Regulation Of Lymphocyte Apoptotic Process (GO:0070228)	2/7	0.0019426570120539962	0.22359174100637866	0	0	40.822680412371135	254.88451454347714	BTK;CD3G
Regulation Of Calcium Ion Transport (GO:0051924)	4/57	0.002355676786426628	0.22359174100637866	0	0	7.76375786163522	46.97793369704421	CD4;CACNA2D1;BCL2;MYLK
Regulation Of Podosome Assembly (GO:0071801)	2/8	0.00257352691224081	0.22359174100637866	0	0	34.017182130584196	202.82669944556145	GSN;FSCN1
mRNA Pseudouridine Synthesis (GO:1990481)	2/8	0.00257352691224081	0.22359174100637866	0	0	34.017182130584196	202.82669944556145	TRUB2;PUS1
Positive Regulation Of T Cell Proliferation (GO:0042102)	4/65	0.003800006942572916	0.22359174100637866	0	0	6.742827868852459	37.57611008953566	CD6;TNFSF9;ZP3;IL12RB1
Protein Ubiquitination (GO:0016567)	11/434	0.003801791465172976	0.22359174100637866	0	0	2.7243115455881415	15.1806345992659	SH3RF3;DCAF15;RNF44;BCL2;RNF19B;UBE4A;ASB11;RBBP6;RNF183;RNF185;RNF41
Actin Filament Bundle Assembly (GO:0051017)	3/33	0.004072935012720332	0.22359174100637866	0	0	10.24559585492228	56.38552417807468	CALD1;FSCN1;CORO1B
Actin Filament Bundle Organization (GO:0061572)	3/33	0.004072935012720332	0.22359174100637866	0	0	10.24559585492228	56.38552417807468	CALD1;FSCN1;CORO1B
Positive Regulation Of T Cell Mediated Cytotoxicity (GO:0001916)	3/33	0.004072935012720332	0.22359174100637866	0	0	10.24559585492228	56.38552417807468	RAET1E;IL12RB1;HLA-E
Negative Regulation Of Natural Killer Cell Mediated Immunity (GO:0002716)	2/10	0.00408297961837735	0.22359174100637866	0	0	25.510309278350515	140.33038119190527	KIR2DL4;HLA-E
