Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Establishment Of Protein Localization To Extracellular Region (GO:0035592)	3/45	2.4364414080655457E-4	0.07059504988303351	0	0	27.876750700280112	231.9290416731333	RCAN3;COPG2;MON1A
Antigen Receptor-Mediated Signaling Pathway (GO:0050851)	4/134	4.700022835101715E-4	0.07059504988303351	0	0	12.194461538461539	93.44339068425954	LCK;BLNK;CD3G;CD3D
Alpha-Beta T Cell Activation (GO:0046631)	2/15	7.345555571872974E-4	0.07059504988303351	0	0	58.97337278106509	425.56630208545965	CD3G;CD3D
Protein Secretion (GO:0009306)	3/67	7.887715070730001E-4	0.07059504988303351	0	0	18.27389705882353	130.56761355363378	RCAN3;COPG2;MON1A
Regulation Of Lymphocyte Activation (GO:0051249)	2/18	0.001064812220373368	0.07624055497873315	0	0	47.90865384615385	327.93266660649385	KLRC3;LCK
T Cell Receptor Signaling Pathway (GO:0050852)	3/95	0.002160916108972604	0.1289346611686987	0	0	12.694373401534527	77.90820069835742	LCK;CD3G;CD3D
T Cell Activation (GO:0042110)	3/111	0.0033594172029272505	0.16567422049575753	0	0	10.805010893246187	61.5452099195161	LCK;CD3G;CD3D
B Cell Receptor Signaling Pathway (GO:0050853)	2/46	0.006863428490169976	0.16567422049575753	0	0	17.396853146853147	86.66326216943813	LCK;BLNK
Protein Transport (GO:0015031)	4/313	0.010071549916926839	0.16567422049575753	0	0	5.084012944983819	23.376498286838586	RCAN3;CD3G;COPG2;MON1A
RNA Methylation (GO:0001510)	2/62	0.012199741169170162	0.16567422049575753	0	0	12.747435897435897	56.16954361556468	METTL14;MTO1
Regulation Of T Cell Activation (GO:0050863)	2/62	0.012199741169170162	0.16567422049575753	0	0	12.747435897435897	56.16954361556468	MYDGF;LCK
succinyl-CoA Catabolic Process (GO:1901289)	1/5	0.013428510503704935	0.16567422049575753	0	0	94.06603773584905	405.45991459490074	SUCLG2
Positive Regulation Of Killing Of Cells Of Another Organism (GO:0051712)	1/5	0.013428510503704935	0.16567422049575753	0	0	94.06603773584905	405.45991459490074	FCER2
Purine Nucleobase Biosynthetic Process (GO:0009113)	1/5	0.013428510503704935	0.16567422049575753	0	0	94.06603773584905	405.45991459490074	PAICS
Radial Glial Cell Differentiation (GO:0060019)	1/5	0.013428510503704935	0.16567422049575753	0	0	94.06603773584905	405.45991459490074	METTL14
Activation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process By Cytochrome C (GO:0008635)	1/5	0.013428510503704935	0.16567422049575753	0	0	94.06603773584905	405.45991459490074	DIABLO
Activation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0006919)	2/67	0.01414240690271311	0.16567422049575753	0	0	11.763905325443787	50.097501514326154	LCK;DIABLO
'De Novo' AMP Biosynthetic Process (GO:0044208)	1/6	0.016092906355470643	0.16567422049575753	0	0	75.24905660377358	310.73170127161313	PAICS
Parallel Actin Filament Bundle Assembly (GO:0030046)	1/6	0.016092906355470643	0.16567422049575753	0	0	75.24905660377358	310.73170127161313	ESPN
Negative Regulation Of Hematopoietic Progenitor Cell Differentiation (GO:1901533)	1/6	0.016092906355470643	0.16567422049575753	0	0	75.24905660377358	310.73170127161313	METTL14
GMP Biosynthetic Process (GO:0006177)	1/6	0.016092906355470643	0.16567422049575753	0	0	75.24905660377358	310.73170127161313	PAICS
Regulation Of T-helper 1 Cell Differentiation (GO:0045625)	1/6	0.016092906355470643	0.16567422049575753	0	0	75.24905660377358	310.73170127161313	MYDGF
Regulation Of T-helper Cell Differentiation (GO:0045622)	1/6	0.016092906355470643	0.16567422049575753	0	0	75.24905660377358	310.73170127161313	MYDGF
Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class I (GO:0019885)	1/6	0.016092906355470643	0.16567422049575753	0	0	75.24905660377358	310.73170127161313	ERAP2
Positive Regulation Of Cell Killing (GO:0031343)	1/6	0.016092906355470643	0.16567422049575753	0	0	75.24905660377358	310.73170127161313	FCER2
Nucleobase Biosynthetic Process (GO:0046112)	1/6	0.016092906355470643	0.16567422049575753	0	0	75.24905660377358	310.73170127161313	PAICS
Macromolecule Depalmitoylation (GO:0098734)	1/7	0.018750240650692064	0.16567422049575753	0	0	62.704402515723274	249.34710980306107	ABHD17B
Protein Depalmitoylation (GO:0002084)	1/7	0.018750240650692064	0.16567422049575753	0	0	62.704402515723274	249.34710980306107	ABHD17B
IMP Biosynthetic Process (GO:0006188)	1/7	0.018750240650692064	0.16567422049575753	0	0	62.704402515723274	249.34710980306107	PAICS
Tryptophan Catabolic Process (GO:0006569)	1/7	0.018750240650692064	0.16567422049575753	0	0	62.704402515723274	249.34710980306107	KMO
Tryptophan Metabolic Process (GO:0006568)	1/7	0.018750240650692064	0.16567422049575753	0	0	62.704402515723274	249.34710980306107	KMO
Regulation Of Lymphocyte Apoptotic Process (GO:0070228)	1/7	0.018750240650692064	0.16567422049575753	0	0	62.704402515723274	249.34710980306107	CD3G
Regulation Of Cardiac Muscle Cell Action Potential Involved In Regulation Of Contraction (GO:0098909)	1/7	0.018750240650692064	0.16567422049575753	0	0	62.704402515723274	249.34710980306107	RANGRF
Benzene-Containing Compound Metabolic Process (GO:0042537)	1/7	0.018750240650692064	0.16567422049575753	0	0	62.704402515723274	249.34710980306107	KMO
AMP Biosynthetic Process (GO:0006167)	1/8	0.021400531511072123	0.16567422049575753	0	0	53.74393530997305	206.60993448840276	PAICS
succinyl-CoA Metabolic Process (GO:0006104)	1/8	0.021400531511072123	0.16567422049575753	0	0	53.74393530997305	206.60993448840276	SUCLG2
GMP Metabolic Process (GO:0046037)	1/8	0.021400531511072123	0.16567422049575753	0	0	53.74393530997305	206.60993448840276	PAICS
Regulation Of Epidermis Development (GO:0045682)	1/8	0.021400531511072123	0.16567422049575753	0	0	53.74393530997305	206.60993448840276	SGPP1
Purine Nucleoside Bisphosphate Catabolic Process (GO:0034034)	1/8	0.021400531511072123	0.16567422049575753	0	0	53.74393530997305	206.60993448840276	SUCLG2
Regulation Of Heme Biosynthetic Process (GO:0070453)	1/8	0.021400531511072123	0.16567422049575753	0	0	53.74393530997305	206.60993448840276	ABCB7
Regulation Of T-helper 1 Type Immune Response (GO:0002825)	1/8	0.021400531511072123	0.16567422049575753	0	0	53.74393530997305	206.60993448840276	MYDGF
Ribonucleoside Bisphosphate Catabolic Process (GO:0034031)	1/8	0.021400531511072123	0.16567422049575753	0	0	53.74393530997305	206.60993448840276	SUCLG2
Kynurenine Metabolic Process (GO:0070189)	1/8	0.021400531511072123	0.16567422049575753	0	0	53.74393530997305	206.60993448840276	KMO
Purine Nucleobase Metabolic Process (GO:0006144)	1/9	0.024043797089670676	0.16567422049575753	0	0	47.02358490566038	175.29819860584723	PAICS
Iron Ion Transmembrane Transport (GO:0034755)	1/9	0.024043797089670676	0.16567422049575753	0	0	47.02358490566038	175.29819860584723	ABCB7
Lung Epithelium Development (GO:0060428)	1/9	0.024043797089670676	0.16567422049575753	0	0	47.02358490566038	175.29819860584723	RCAN3
Lymphocyte Differentiation (GO:0030098)	2/91	0.02513967966881702	0.16567422049575753	0	0	8.58124459809853	31.60736531457828	LCK;BLNK
Surfactant Homeostasis (GO:0043129)	1/10	0.026680055532623963	0.16567422049575753	0	0	41.79664570230608	151.46431378315344	RCAN3
Positive Regulation Of Nitric-Oxide Synthase Biosynthetic Process (GO:0051770)	1/10	0.026680055532623963	0.16567422049575753	0	0	41.79664570230608	151.46431378315344	FCER2
TORC1 Signaling (GO:0038202)	1/10	0.026680055532623963	0.16567422049575753	0	0	41.79664570230608	151.46431378315344	LAMTOR1
Hematopoietic Stem Cell Proliferation (GO:0071425)	1/10	0.026680055532623963	0.16567422049575753	0	0	41.79664570230608	151.46431378315344	ETV6
Regulation Of Microtubule Nucleation (GO:0010968)	1/10	0.026680055532623963	0.16567422049575753	0	0	41.79664570230608	151.46431378315344	RANGRF
Aromatic Amino Acid Family Catabolic Process (GO:0009074)	1/10	0.026680055532623963	0.16567422049575753	0	0	41.79664570230608	151.46431378315344	KMO
Neuron Projection Fasciculation (GO:0106030)	1/10	0.026680055532623963	0.16567422049575753	0	0	41.79664570230608	151.46431378315344	CRTAC1
Diol Metabolic Process (GO:0034311)	1/10	0.026680055532623963	0.16567422049575753	0	0	41.79664570230608	151.46431378315344	SGPP1
Nuclear Pore Complex Assembly (GO:0051292)	1/10	0.026680055532623963	0.16567422049575753	0	0	41.79664570230608	151.46431378315344	NUP205
Lipoprotein Catabolic Process (GO:0042159)	1/10	0.026680055532623963	0.16567422049575753	0	0	41.79664570230608	151.46431378315344	ABHD17B
Sphingoid Metabolic Process (GO:0046519)	1/11	0.02930932497110778	0.16567422049575753	0	0	37.615094339622644	132.7756240232595	SGPP1
