Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Mature CD8 T cell - Blood	6/102	4.16647299445001E-5	0.0027140583162583746	0	0	10.476694915254237	105.66643199399581	KLRK1;LCK;GZMA;KLRF1;STAT4;CD3D
CD16-negative, CD56-bright Natural Killer cell - Blood	6/103	4.401961145122418E-5	0.0027140583162583746	0	0	10.368163550585358	104.00175575454158	KLRK1;LCK;GZMA;KLRF1;STAT4;CD3D
CD16-negative, CD56-bright Natural Killer cell - Bone Marrow	6/103	4.401961145122418E-5	0.0027140583162583746	0	0	10.368163550585358	104.00175575454158	KLRK1;IFNG;LCK;GZMA;KLRF1;CD3D
CD8-positive, Alpha-Beta Cytotoxic T cell - Spleen	6/103	4.401961145122418E-5	0.0027140583162583746	0	0	10.368163550585358	104.00175575454158	KLRK1;IFNG;LCK;GZMA;STAT4;RORA
Mature CD8 T cell - Bone Marrow	6/104	4.6479962857665655E-5	0.0027140583162583746	0	0	10.261847111726047	102.37720733908988	KLRK1;IFNG;LCK;GZMA;KLRF1;CD3D
CD8 T Cell memory - Blood	6/105	4.9049246679368214E-5	0.0027140583162583746	0	0	10.157678479712377	100.79145130351209	KLRK1;LCK;GZMA;KLRF1;STAT4;CD3D
CD16-negative, CD56-bright Natural Killer cell - Respiratory System	5/101	4.1612738440142407E-4	0.008212504153838462	0	0	8.657212885154062	67.39223933491127	KLRK1;IFNG;GZMA;CD3D;KIR2DL4
Effector Memory CD8-positive, Alpha-Beta T Cell, Terminally differentiated - Blood	5/102	4.354296832918914E-4	0.008212504153838462	0	0	8.567530104825435	66.30563396221632	KLRK1;LCK;GZMA;KLRF1;CD3D
Mature Natural Killer cell - Blood	5/102	4.354296832918914E-4	0.008212504153838462	0	0	8.567530104825435	66.30563396221632	KLRK1;LCK;GZMA;KLRF1;CD3D
Mucosal Invariant T cell - Respiratory System	5/102	4.354296832918914E-4	0.008212504153838462	0	0	8.567530104825435	66.30563396221632	KLRK1;IFNG;LCK;GZMA;CD3D
CD8 T Cell Effector memory - Bone Marrow	5/102	4.354296832918914E-4	0.008212504153838462	0	0	8.567530104825435	66.30563396221632	LCK;GZMA;KLRF1;ADRB2;CD3D
Mature Natural Killer cell - Bone Marrow	5/102	4.354296832918914E-4	0.008212504153838462	0	0	8.567530104825435	66.30563396221632	KLRK1;LCK;GZMA;KLRF1;CD3D
lymphocyte - Heart	5/102	4.354296832918914E-4	0.008212504153838462	0	0	8.567530104825435	66.30563396221632	LCK;GZMA;KLRF1;HLA-DOA;CD3D
CD8-positive, Alpha-Beta T cell - Spleen	5/103	4.553996875487704E-4	0.008212504153838462	0	0	8.479677585319843	65.24548080032451	LCK;GZMA;STAT4;RORA;CD3D
CD4-positive Helper T cell - Spleen	5/103	4.553996875487704E-4	0.008212504153838462	0	0	8.479677585319843	65.24548080032451	LCK;GZMA;STAT4;RORA;CD3D
Effector CD8-positive, Alpha-Beta T cell - Spleen	5/103	4.553996875487704E-4	0.008212504153838462	0	0	8.479677585319843	65.24548080032451	LCK;GZMA;STAT4;RORA;CD3D
Effector CD8-positive, Alpha-Beta T cell - Blood	5/104	4.760523041558925E-4	0.008212504153838462	0	0	8.393599864188099	64.21089481849609	KLRK1;LCK;GZMA;STAT4;CD3D
CD8 naive - Bone Marrow	5/104	4.760523041558925E-4	0.008212504153838462	0	0	8.393599864188099	64.21089481849609	LCK;GZMA;KLRF1;RORA;CD3D
T Follicular Helper cell - Spleen	5/104	4.760523041558925E-4	0.008212504153838462	0	0	8.393599864188099	64.21089481849609	LCK;GZMA;STAT4;RORA;CD3D
Effector Memory CD8-positive, Alpha-Beta T Cell, Terminally differentiated - Bone Marrow	5/105	4.974025648121951E-4	0.008212504153838462	0	0	8.309243697478992	63.20102881028983	KLRK1;LCK;GZMA;KLRF1;CD3D
Cytotoxic Memory T Cell - Spleen	5/106	5.194656241885773E-4	0.008212504153838462	0	0	8.226557949912639	62.21507141994802	KLRK1;IFNG;GZMA;STAT4;RORA
CD1c-positive Myeloid Dendritic cell - Liver	4/101	0.0036169587393528107	0.04917735264670932	0	0	6.796907216494845	38.213039782436915	FCER2;GZMA;KLRF1;HLA-DOA
Hepatic Pit cell - Liver	4/103	0.00387980453382589	0.04917735264670932	0	0	6.658922558922559	36.97014163886033	LCK;GZMA;KLRF1;HLA-DOA
CD4 naive - Bone Marrow	4/104	0.004015955075569335	0.04917735264670932	0	0	6.592	36.37122870725132	LCK;GZMA;KLRF1;CD3D
T cell - Lymph Node	4/104	0.004015955075569335	0.04917735264670932	0	0	6.592	36.37122870725132	LCK;GZMA;STAT4;CD3D
Regulatory T cell - Respiratory System	4/105	0.004155304148309483	0.04917735264670932	0	0	6.526402640264027	35.78667817956401	IFNG;GZMA;BTLA;CD3D
CD8 T Cell memory - Bone Marrow	4/106	0.004297886515594312	0.04917735264670932	0	0	6.462091503267974	35.21601990073079	LCK;GZMA;KLRF1;CD3D
CD4-positive, Alpha-Beta Memory T cell - Lymph Node	4/106	0.004297886515594312	0.04917735264670932	0	0	6.462091503267974	35.21601990073079	LCK;GZMA;STAT4;CD3D
CD8-positive, Alpha-Beta Memory T cell - Lymph Node	4/106	0.004297886515594312	0.04917735264670932	0	0	6.462091503267974	35.21601990073079	LCK;GZMA;STAT4;CD3D
CD4+ T - Small Intestine	4/107	0.004443736684943613	0.04917735264670932	0	0	6.399029126213592	34.65880332442269	LCK;GZMA;STAT4;CD3D
Regulatory T cell - Bone Marrow	4/108	0.004592888904139962	0.04918835858627314	0	0	6.337179487179487	34.11459651862783	LCK;GZMA;KLRF1;CD3D
T cell - Kidney	3/101	0.024972935422161845	0.14920670624645263	0	0	5.003710575139147	18.463505001794818	P2RX7;GZMA;CD3D
Cytotoxic T cell - Kidney	3/101	0.024972935422161845	0.14920670624645263	0	0	5.003710575139147	18.463505001794818	P2RX7;GZMA;CD3D
Immature B cell - Bone Marrow	3/101	0.024972935422161845	0.14920670624645263	0	0	5.003710575139147	18.463505001794818	FCER2;LCK;BTLA
Group 1 Innate Lymphoid cell - Skin	3/101	0.024972935422161845	0.14920670624645263	0	0	5.003710575139147	18.463505001794818	LCK;GZMA;CD3D
