Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
plasmablast - Lymph Node	4/105	0.002885764846403984	0.38684910148063134	0	0	7.255958929226256	42.43259605631377	FCER2;GPR183;PRDM1;CCR6
Plasma cell - Thoracic Thymus	4/109	0.0033016760969165073	0.38684910148063134	0	0	6.978130511463845	39.86832772278889	FCER2;BLNK;ZDHHC12;CCR6
CD1c-positive Myeloid Dendritic cell - Liver	3/101	0.01916117443019932	0.38684910148063134	0	0	5.557947949822131	21.98095723075386	FCER2;KLRF1;LRRC55
Flat Epithelial cells - Pancreas	3/101	0.01916117443019932	0.38684910148063134	0	0	5.557947949822131	21.98095723075386	RTP4;LAMA3;SH3RF1
Type I Cell Of Carotid body - Skin	3/101	0.01916117443019932	0.38684910148063134	0	0	5.557947949822131	21.98095723075386	CRTAC1;SPNS2;AVPR2
Inh L1-5 VIP PHLDB3 - Brain	3/102	0.019663076017159442	0.38684910148063134	0	0	5.5015290519877675	21.61557760166972	CCDC74B;CACHD1;SH3RF1
Pulmonary Venous Endothelial cell - Respiratory System	3/102	0.019663076017159442	0.38684910148063134	0	0	5.5015290519877675	21.61557760166972	CRTAC1;KCNA5;PGC
Naive B cell - Bone Marrow	3/102	0.019663076017159442	0.38684910148063134	0	0	5.5015290519877675	21.61557760166972	FCER2;LTK;PRDM1
CD8 T Cell Effector memory - Bone Marrow	3/102	0.019663076017159442	0.38684910148063134	0	0	5.5015290519877675	21.61557760166972	GPR183;KLRF1;PRDM1
Naive B cell - Thoracic Thymus	3/102	0.019663076017159442	0.38684910148063134	0	0	5.5015290519877675	21.61557760166972	FCER2;BLNK;CCR6
Regulatory T cell - Lymph Node	3/102	0.019663076017159442	0.38684910148063134	0	0	5.5015290519877675	21.61557760166972	BTG2;CD3G;PRDM1
Simple Columnar Epithelial cell - Pancreas	3/103	0.020172211297929506	0.38684910148063134	0	0	5.446238532110092	21.259115985849554	RTP4;LAMA3;PLEK2
Unswitched Memory B cell - Thoracic Thymus	3/103	0.020172211297929506	0.38684910148063134	0	0	5.446238532110092	21.259115985849554	GPR183;BLNK;CCR6
Class Switched Memory B cell - Thoracic Thymus	3/103	0.020172211297929506	0.38684910148063134	0	0	5.446238532110092	21.259115985849554	GPR183;BLNK;CCR6
CD4 naive - Bone Marrow	3/104	0.020688584116977084	0.38684910148063134	0	0	5.392042874012172	20.91127629003203	NLRP6;KLRF1;CD3G
Plasma cell - Lymph Node	3/104	0.020688584116977084	0.38684910148063134	0	0	5.392042874012172	20.91127629003203	FCER2;PRDM1;CCR6
Centrocyte - Lymph Node	3/106	0.021743053748599476	0.38684910148063134	0	0	5.286808586443396	20.240340172235275	FCER2;BLNK;CCR6
CD8alpha-negative Thymic Conventional Dendritic cell - Thoracic Thymus	3/107	0.022281154269216848	0.38684910148063134	0	0	5.235709244883557	19.91671157034982	GPR183;BLNK;CCR6
Naive B cell - Lymph Node	3/108	0.02282649977680744	0.38684910148063134	0	0	5.185583224115335	19.60063935715789	FCER2;BLNK;CCR6
Astro L1 FGFR3 SERPINI2 - Brain	2/100	0.10815754530207146	0.4193267076553675	0	0	3.6716141001855287	8.166280575904093	CFAP100;BRINP3
Immature B cell - Blood	2/100	0.10815754530207146	0.4193267076553675	0	0	3.6716141001855287	8.166280575904093	FCER2;BLNK
B cell - Spleen	2/100	0.10815754530207146	0.4193267076553675	0	0	3.6716141001855287	8.166280575904093	FCER2;BLNK
Inh L1-6 SST NPY (Sset Chodl) - Brain	2/101	0.10995545321434207	0.4193267076553675	0	0	3.6343434343434344	8.023467189531802	EXTL1;MCHR2
Multinuclear osteoclast - Knee	2/101	0.10995545321434207	0.4193267076553675	0	0	3.6343434343434344	8.023467189531802	OSBPL3;ATP9A
Starburst Amacrine cell - Eye	2/101	0.10995545321434207	0.4193267076553675	0	0	3.6343434343434344	8.023467189531802	SLC6A18;BRINP3
Diffuse Bipolar 2 cell - Eye	2/101	0.10995545321434207	0.4193267076553675	0	0	3.6343434343434344	8.023467189531802	FER1L5;LHX2
Naive B cell - Blood	2/101	0.10995545321434207	0.4193267076553675	0	0	3.6343434343434344	8.023467189531802	FCER2;BLNK
Dense-Core Granulated Cell Of Epithelium Of trachea - Respiratory System	2/101	0.10995545321434207	0.4193267076553675	0	0	3.6343434343434344	8.023467189531802	CRTAC1;KCNA5
Lung Neuroendocrine cell - Respiratory System	2/101	0.10995545321434207	0.4193267076553675	0	0	3.6343434343434344	8.023467189531802	CRTAC1;KCNA5
Glomerular Visceral Epithelial cell - Kidney	2/101	0.10995545321434207	0.4193267076553675	0	0	3.6343434343434344	8.023467189531802	CLEC18C;TACR3
Melanocyte Of skin - Skin	2/101	0.10995545321434207	0.4193267076553675	0	0	3.6343434343434344	8.023467189531802	CRTAC1;AVPR2
Secretory cell - Skin	2/101	0.10995545321434207	0.4193267076553675	0	0	3.6343434343434344	8.023467189531802	NDST1;CTIF
Endocrine-Paracrine Cell Of Prostate gland - Prostate Gland	2/101	0.10995545321434207	0.4193267076553675	0	0	3.6343434343434344	8.023467189531802	CRTAC1;DACT2
Club Cell Of Prostatic urethra - Prostate Gland	2/101	0.10995545321434207	0.4193267076553675	0	0	3.6343434343434344	8.023467189531802	RTP4;CRTAC1
Memory B cell - Spleen	2/101	0.10995545321434207	0.4193267076553675	0	0	3.6343434343434344	8.023467189531802	FCER2;BLNK
Class Switched Memory B cell - Spleen	2/101	0.10995545321434207	0.4193267076553675	0	0	3.6343434343434344	8.023467189531802	FCER2;BLNK
Adventitial Stromal Cell - Spleen	2/101	0.10995545321434207	0.4193267076553675	0	0	3.6343434343434344	8.023467189531802	EXTL1;SLC45A1
Splenic Pericyte - Spleen	2/101	0.10995545321434207	0.4193267076553675	0	0	3.6343434343434344	8.023467189531802	EXTL1;SLC45A1
