Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Effector Memory CD8-positive, Alpha-Beta T Cell, Terminally differentiated - Blood	9/102	2.5295242448449173E-7	4.894629413774915E-5	0	0	11.644767899291896	176.88477444625087	FCMR;KLRK1;LBH;LCK;KLRF1;CD3G;FASLG;IL12RB1;CD3D
Mature Natural Killer cell - Blood	9/102	2.5295242448449173E-7	4.894629413774915E-5	0	0	11.644767899291896	176.88477444625087	FCMR;KLRK1;LBH;LCK;KLRF1;CD3G;FASLG;IL12RB1;CD3D
Mature CD8 T cell - Blood	8/102	2.9276956976009355E-6	3.5231155727727425E-4	0	0	10.178207607994842	129.68354464292744	FCMR;KLRK1;LBH;LCK;KLRF1;CD3G;FASLG;CD3D
CD8 T Cell memory - Blood	8/105	3.641463124312912E-6	3.5231155727727425E-4	0	0	9.861918150577944	123.5020337379768	FCMR;KLRK1;LBH;LCK;KLRF1;FASLG;IL12RB1;CD3D
CD16-negative, CD56-bright Natural Killer cell - Blood	7/103	3.163976937481978E-5	0.002172264361621451	0	0	8.666980421686747	89.79941361491694	FCMR;KLRK1;LCK;KLRF1;CD3G;FASLG;CD3D
Effector CD8-positive, Alpha-Beta T cell - Blood	7/104	3.36785172344411E-5	0.002172264361621451	0	0	8.577195379455969	88.33353657975259	FCMR;KLRK1;LBH;APOBEC3G;LCK;CD3G;CD3D
pro-B cell - Bone Marrow	6/103	2.745466791088256E-4	0.014420145715453811	0	0	7.3078585097845545	59.92728443777413	FCMR;GRK5;LCK;PITPNM2;BLNK;IKZF2
Regulatory T cell - Blood	6/105	3.0465566915201014E-4	0.014420145715453811	0	0	7.159499183451279	57.96565637333474	FCMR;LBH;LCK;CD3G;CCR6;CD3D
Gamma-Delta T cell - Thoracic Thymus	6/108	3.546106083498317E-4	0.014420145715453811	0	0	6.94786896794646	55.19727726292456	TRABD;LCK;CD3G;WHAMM;IKZF2;CD3D
Plasma cell - Thoracic Thymus	6/109	3.726135843786514E-4	0.014420145715453811	0	0	6.88006511249346	54.31789831886758	MYDGF;FCER2;IGLL5;BLNK;ZDHHC12;CCR6
Immature B cell - Bone Marrow	5/101	0.0018541878325280493	0.04888603644365969	0	0	6.117001488095238	38.47782648521669	FCER2;IGLL5;FCMR;PDE1B;LCK
Naive Thymus-Derived CD4-positive, Alpha-Beta T cell - Blood	5/102	0.0019363423194068226	0.04888603644365969	0	0	6.053632793323515	37.81676854624661	FCMR;LBH;LCK;CD3G;CD3D
Naive Thymus-Derived CD8-positive, Alpha-Beta T cell - Blood	5/102	0.0019363423194068226	0.04888603644365969	0	0	6.053632793323515	37.81676854624661	FCMR;LBH;LCK;CD3G;CD3D
Naive B cell - Bone Marrow	5/102	0.0019363423194068226	0.04888603644365969	0	0	6.053632793323515	37.81676854624661	FCER2;FCMR;PDE1B;LCK;PRDM1
Inh L5-6 SST DNAJC14 - Brain	5/103	0.0020211281217016926	0.04888603644365969	0	0	5.991557337220603	37.17221756472888	ATL3;CPQ;TLN2;SUGT1;MYLK
CD16-negative, CD56-bright Natural Killer cell - Bone Marrow	5/103	0.0020211281217016926	0.04888603644365969	0	0	5.991557337220603	37.17221756472888	KLRK1;LCK;KLRF1;FASLG;CD3D
Centrocyte - Lymph Node	5/106	0.002291769747756061	0.04961860410305928	0	0	5.8127062706270625	35.33213366533303	FCER2;BTK;BLNK;CCR6;KMO
CD8aa(II) thymocyte - Thoracic Thymus	5/108	0.0024862656935170603	0.04961860410305928	0	0	5.6992602866389275	34.178312428085725	RTP4;LCK;CD3G;IKZF2;CD3D
Naive B cell - Lymph Node	5/108	0.0024862656935170603	0.04961860410305928	0	0	5.6992602866389275	34.178312428085725	FCER2;BTK;BLNK;CCR6;KMO
T-helper 17 cell - Thoracic Thymus	5/110	0.0026924823931892636	0.04961860410305928	0	0	5.590136054421769	33.07846561051674	DIS3L;CD3G;IL12RB1;RNF185;CD3D
CD4 T Cell Effector Memory CD45RA - Blood	5/110	0.0026924823931892636	0.04961860410305928	0	0	5.590136054421769	33.07846561051674	FCMR;LBH;LCK;CD3G;CD3D
Natural Killer cell - Lymph Node	5/112	0.0029108203405198156	0.051203975990053115	0	0	5.485091232754784	32.02920476689779	KLRK1;APOBEC3G;LCK;CD3G;CD3D
CD4 T Cell memory - Blood	5/117	0.0035123262618469596	0.05909870710151188	0	0	5.238892431972789	29.607478556923724	FCMR;LBH;LCK;CD3G;CD3D
CD16-negative, CD56-bright Natural Killer cell - Respiratory System	4/101	0.011527569176435468	0.0980889892151733	0	0	4.814249984749588	21.486064084451293	KLRK1;FASLG;CD3D;KIR2DL4
B cell - Lymph Node	4/101	0.011527569176435468	0.0980889892151733	0	0	4.814249984749588	21.486064084451293	FCER2;IGLL5;BTK;CCR6
T cell - Kidney	4/101	0.011527569176435468	0.0980889892151733	0	0	4.814249984749588	21.486064084451293	CD3G;FASLG;IL12RB1;CD3D
neutrophil - Skin	4/102	0.011919048721857272	0.0980889892151733	0	0	4.764883468180171	21.106610842284937	PDE1B;CD3G;CCR6;IL12RB1
Naive B cell - Thoracic Thymus	4/102	0.011919048721857272	0.0980889892151733	0	0	4.764883468180171	21.106610842284937	FCER2;IGLL5;BLNK;CCR6
Exc L6 FEZF2 KLK7 - Brain	4/102	0.011919048721857272	0.0980889892151733	0	0	4.764883468180171	21.106610842284937	ATL3;DPY19L4;ARNT;RMDN1
Precursor B cell - Bone Marrow	4/102	0.011919048721857272	0.0980889892151733	0	0	4.764883468180171	21.106610842284937	FCER2;FCMR;PDE1B;LCK
CD8 T Cell Effector memory - Bone Marrow	4/102	0.011919048721857272	0.0980889892151733	0	0	4.764883468180171	21.106610842284937	LCK;KLRF1;PRDM1;CD3D
Mature Natural Killer cell - Bone Marrow	4/102	0.011919048721857272	0.0980889892151733	0	0	4.764883468180171	21.106610842284937	KLRK1;LCK;KLRF1;CD3D
Hepatic Pit cell - Liver	4/103	0.012318965611112377	0.0980889892151733	0	0	4.7165142549757935	20.73669866317074	LCK;KLRF1;FASLG;MYLK
Inh L2-5 PVALB HHIPL1 - Brain	4/103	0.012318965611112377	0.0980889892151733	0	0	4.7165142549757935	20.73669866317074	ATL3;DPY19L4;ARNT;RMDN1
Exc L5-6 FEZF2 CFTR - Brain	4/103	0.012318965611112377	0.0980889892151733	0	0	4.7165142549757935	20.73669866317074	PPP2R3A;SUGT1;IKZF2;SBF2
Plasmacytoid Dendritic Cell, human - Blood	4/103	0.012318965611112377	0.0980889892151733	0	0	4.7165142549757935	20.73669866317074	IGLL5;KLRK1;LCK;FASLG
B cell - Respiratory System	4/104	0.012727381354177902	0.0980889892151733	0	0	4.669112426035503	20.37600473266356	IGLL5;BTK;BLNK;CD3D
Natural Killer cell - Respiratory System	4/104	0.012727381354177902	0.0980889892151733	0	0	4.669112426035503	20.37600473266356	KLRK1;CD3G;IL12RB1;CD3D
Plasma cell - Lymph Node	4/104	0.012727381354177902	0.0980889892151733	0	0	4.669112426035503	20.37600473266356	FCER2;BTK;PRDM1;CCR6
T cell - Lymph Node	4/104	0.012727381354177902	0.0980889892151733	0	0	4.669112426035503	20.37600473266356	LCK;CD3G;FASLG;CD3D
CD4 naive - Bone Marrow	4/104	0.012727381354177902	0.0980889892151733	0	0	4.669112426035503	20.37600473266356	LCK;KLRF1;CD3G;CD3D
CD8 naive - Bone Marrow	4/104	0.012727381354177902	0.0980889892151733	0	0	4.669112426035503	20.37600473266356	GRK5;LCK;KLRF1;CD3D
Mature CD8 T cell - Bone Marrow	4/104	0.012727381354177902	0.0980889892151733	0	0	4.669112426035503	20.37600473266356	KLRK1;LCK;KLRF1;CD3D
plasmablast - Lymph Node	4/105	0.013144356104719899	0.0980889892151733	0	0	4.622649247173238	20.0242200743002	FCER2;BTK;PRDM1;CCR6
Monocytoid B Cell - Lymph Node	4/105	0.013144356104719899	0.0980889892151733	0	0	4.622649247173238	20.0242200743002	FCER2;IGLL5;BTK;CD3D
Effector Memory CD8-positive, Alpha-Beta T Cell, Terminally differentiated - Bone Marrow	4/105	0.013144356104719899	0.0980889892151733	0	0	4.622649247173238	20.0242200743002	KLRK1;LCK;KLRF1;CD3D
Early T Lineage precursor - Thoracic Thymus	4/106	0.013569948653690237	0.0980889892151733	0	0	4.577097111033763	19.68104883213833	FCMR;BTK;BLNK;CCR6
Double Negative Thymocyte 3 - Thoracic Thymus	4/106	0.013569948653690237	0.0980889892151733	0	0	4.577097111033763	19.68104883213833	LCK;CD3G;IKZF2;CD3D
CD8aa(I) thymocyte - Thoracic Thymus	4/106	0.013569948653690237	0.0980889892151733	0	0	4.577097111033763	19.68104883213833	LCK;CD3G;IKZF2;CD3D
CD4-positive, Alpha-Beta Memory T cell - Lymph Node	4/106	0.013569948653690237	0.0980889892151733	0	0	4.577097111033763	19.68104883213833	LCK;CD3G;FASLG;CD3D
CD8-positive, Alpha-Beta Memory T cell - Lymph Node	4/106	0.013569948653690237	0.0980889892151733	0	0	4.577097111033763	19.68104883213833	LCK;CD3G;FASLG;CD3D
CD8 T Cell memory - Bone Marrow	4/106	0.013569948653690237	0.0980889892151733	0	0	4.577097111033763	19.68104883213833	GRK5;LCK;KLRF1;CD3D
Double Negative Thymocyte 2 - Thoracic Thymus	4/107	0.014004216423197137	0.0980889892151733	0	0	4.532429482392141	19.346207596881506	LCK;CD3G;IKZF2;CD3D
Centroblast - Lymph Node	4/107	0.014004216423197137	0.0980889892151733	0	0	4.532429482392141	19.346207596881506	FCER2;IGLL5;BTK;CCR6
T-helper 17 cell - Lymph Node	4/107	0.014004216423197137	0.0980889892151733	0	0	4.532429482392141	19.346207596881506	CD3G;FASLG;CCR6;CD3D
T-helper 1 cell - Lymph Node	4/108	0.014447215465800717	0.0980889892151733	0	0	4.488620846609012	19.019424770954927	CD3G;FASLG;CCR6;CD3D
Regulatory T cell - Bone Marrow	4/108	0.014447215465800717	0.0980889892151733	0	0	4.488620846609012	19.019424770954927	LCK;KLRF1;CCR6;CD3D
B cell - Spleen	3/100	0.05599044637853729	0.2407383205866337	0	0	3.5894481503941784	10.346850641993324	FCER2;IGLL5;BLNK
Immature B cell - Blood	3/100	0.05599044637853729	0.2407383205866337	0	0	3.5894481503941784	10.346850641993324	FCER2;IGLL5;BLNK
Group 1 Innate Lymphoid cell - Skin	3/101	0.057351556429969044	0.2407383205866337	0	0	3.552641056422569	10.15542090886179	LCK;FASLG;CD3D
Type I Cell Of Carotid body - Skin	3/101	0.057351556429969044	0.2407383205866337	0	0	3.552641056422569	10.15542090886179	CRTAC1;SERPINF2;ESPN
Memory B cell - Spleen	3/101	0.057351556429969044	0.2407383205866337	0	0	3.552641056422569	10.15542090886179	FCER2;IGLL5;BLNK
Class Switched Memory B cell - Spleen	3/101	0.057351556429969044	0.2407383205866337	0	0	3.552641056422569	10.15542090886179	FCER2;IGLL5;BLNK
Naive B cell - Blood	3/101	0.057351556429969044	0.2407383205866337	0	0	3.552641056422569	10.15542090886179	FCER2;IGLL5;BLNK
Regulatory CD4+ T - Small Intestine	3/102	0.05872830063968307	0.2407383205866337	0	0	3.516577540106952	9.968911974283797	FCMR;LBH;APOBEC3G
Periportal Region hepatocyte - Liver	3/102	0.05872830063968307	0.2407383205866337	0	0	3.516577540106952	9.968911974283797	TFR2;SERPINF2;KMO
Mucosal Invariant T cell - Respiratory System	3/102	0.05872830063968307	0.2407383205866337	0	0	3.516577540106952	9.968911974283797	KLRK1;LCK;CD3D
Cytotoxic T cell - Skin	3/102	0.05872830063968307	0.2407383205866337	0	0	3.516577540106952	9.968911974283797	LCK;FASLG;CD3D
lymphocyte - Uterus	3/102	0.05872830063968307	0.2407383205866337	0	0	3.516577540106952	9.968911974283797	WDR1;PDE8A;MYLK
lymphocyte - Heart	3/102	0.05872830063968307	0.2407383205866337	0	0	3.516577540106952	9.968911974283797	LCK;KLRF1;CD3D
Regulatory T cell - Lymph Node	3/102	0.05872830063968307	0.2407383205866337	0	0	3.516577540106952	9.968911974283797	CD3G;FASLG;PRDM1
Micro L1-6 TYROBP CD74 - Brain	3/102	0.05872830063968307	0.2407383205866337	0	0	3.516577540106952	9.968911974283797	BTK;BLNK;MRO
Mature NK T cell - Kidney	3/102	0.05872830063968307	0.2407383205866337	0	0	3.516577540106952	9.968911974283797	CD3G;IL12RB1;CD3D
CD8 TRm (Residence memory) - Liver	3/103	0.060120582228832854	0.2407383205866337	0	0	3.481235294117647	9.78715545297837	FCMR;LCK;FASLG
Regulatory T cell - Skin	3/103	0.060120582228832854	0.2407383205866337	0	0	3.481235294117647	9.78715545297837	PDE1B;LCK;CD3D
Group 2 Innate Lymphoid cell - Skin	3/103	0.060120582228832854	0.2407383205866337	0	0	3.481235294117647	9.78715545297837	LCK;FASLG;CD3D
Double-Positive, Alpha-Beta thymocyte - Thoracic Thymus	3/103	0.060120582228832854	0.2407383205866337	0	0	3.481235294117647	9.78715545297837	CYP2U1;CD3G;CD3D
Naive B cell - Spleen	3/103	0.060120582228832854	0.2407383205866337	0	0	3.481235294117647	9.78715545297837	FCER2;IGLL5;BLNK
CD8-positive, Alpha-Beta T cell - Spleen	3/103	0.060120582228832854	0.2407383205866337	0	0	3.481235294117647	9.78715545297837	LCK;FASLG;CD3D
CD4-positive Helper T cell - Spleen	3/103	0.060120582228832854	0.2407383205866337	0	0	3.481235294117647	9.78715545297837	LCK;FASLG;CD3D
Effector CD8-positive, Alpha-Beta T cell - Spleen	3/103	0.060120582228832854	0.2407383205866337	0	0	3.481235294117647	9.78715545297837	LCK;FASLG;CD3D
CD8-positive, Alpha-Beta Cytotoxic T cell - Spleen	3/103	0.060120582228832854	0.2407383205866337	0	0	3.481235294117647	9.78715545297837	KLRK1;LCK;FASLG
Inh L1 SST P4HA3 - Brain	3/103	0.060120582228832854	0.2407383205866337	0	0	3.481235294117647	9.78715545297837	UVRAG;DPY19L4;SUCLG2
Exc L3-5 RORB LNX2 - Brain	3/103	0.060120582228832854	0.2407383205866337	0	0	3.481235294117647	9.78715545297837	LYRM7;MORN3;MTO1
Transitional Stage B cell - Blood	3/103	0.060120582228832854	0.2407383205866337	0	0	3.481235294117647	9.78715545297837	FCER2;IGLL5;BLNK
Immature Conventional Dendritic cell - Blood	3/103	0.060120582228832854	0.2407383205866337	0	0	3.481235294117647	9.78715545297837	FCER2;BTK;BLNK
Natural Killer cell - Liver	3/104	0.06152830259775104	0.2407383205866337	0	0	3.446592894583576	9.609990228953475	PDE1B;LCK;FASLG
Uterine Natural Killer cell - Uterus	3/104	0.06152830259775104	0.2407383205866337	0	0	3.446592894583576	9.609990228953475	WDR1;MORN3;MYLK
Memory B cell - Lymph Node	3/104	0.06152830259775104	0.2407383205866337	0	0	3.446592894583576	9.609990228953475	FCER2;BTK;CCR6
T Follicular Regulatory Cell - Lymph Node	3/104	0.06152830259775104	0.2407383205866337	0	0	3.446592894583576	9.609990228953475	CD3G;FASLG;CD3D
Cytotoxic T cell - Lymph Node	3/104	0.06152830259775104	0.2407383205866337	0	0	3.446592894583576	9.609990228953475	CD3G;FASLG;CD3D
Eomes Low Liver NK cell - Liver	3/105	0.06295136136919655	0.2407383205866337	0	0	3.412629757785467	9.437262077006439	PDE1B;LCK;FASLG
TBet Low Liver NK cell - Liver	3/105	0.06295136136919655	0.2407383205866337	0	0	3.412629757785467	9.437262077006439	PDE1B;LCK;FASLG
Gamma-Delta T cell - Spleen	3/105	0.06295136136919655	0.2407383205866337	0	0	3.412629757785467	9.437262077006439	LCK;FASLG;CD3D
CD8-positive, Alpha-Beta Memory T Cell, CD45RO-positive - Liver	3/106	0.06438965645909725	0.2407383205866337	0	0	3.3793260993717875	9.268823305756863	APOBEC3G;LCK;IL12RB1
Natural Killer cell - Spleen	3/106	0.06438965645909725	0.2407383205866337	0	0	3.3793260993717875	9.268823305756863	KLRK1;FASLG;KIR2DL4
Dendritic cell - Lymph Node	3/106	0.06438965645909725	0.2407383205866337	0	0	3.3793260993717875	9.268823305756863	FCER2;BTK;CCR6
Gamma-Delta T cell - Lymph Node	3/106	0.06438965645909725	0.2407383205866337	0	0	3.3793260993717875	9.268823305756863	LCK;CD3G;CD3D
CD4+ T - Small Intestine	3/107	0.0658430841191634	0.2407383205866337	0	0	3.3466628959276017	9.104532423771676	FCMR;LCK;CD3D
Group 3 Innate Lymphoid Cell, human - Thoracic Thymus	3/107	0.0658430841191634	0.2407383205866337	0	0	3.3466628959276017	9.104532423771676	RTP4;CD3G;CD3D
T Follicular Helper cell - Lymph Node	3/107	0.0658430841191634	0.2407383205866337	0	0	3.3466628959276017	9.104532423771676	CD3G;FASLG;CD3D
Naive Thymus-Derived CD4-positive, Alpha-Beta T cell - Lymph Node	3/107	0.0658430841191634	0.2407383205866337	0	0	3.3466628959276017	9.104532423771676	LCK;CD3G;CD3D
Naive Thymus-Derived CD8-positive, Alpha-Beta T cell - Lymph Node	3/107	0.0658430841191634	0.2407383205866337	0	0	3.3466628959276017	9.104532423771676	LCK;CD3G;CD3D
Plasmacytoid Dendritic Cell, human - Lymph Node	3/107	0.0658430841191634	0.2407383205866337	0	0	3.3466628959276017	9.104532423771676	BTK;BLNK;KMO
Thymic Plasmacytoid Dendritic cell - Thoracic Thymus	3/108	0.067311538989991	0.2407383205866337	0	0	3.314621848739496	8.944253825064246	APOBEC3G;BTK;BLNK
T-helper 2 cell - Lymph Node	3/108	0.067311538989991	0.2407383205866337	0	0	3.314621848739496	8.944253825064246	CD3G;FASLG;CD3D
Erythroid Lineage cell - Bone Marrow	3/108	0.067311538989991	0.2407383205866337	0	0	3.314621848739496	8.944253825064246	TFR2;ESPN;CTSE
Hematopoietic Stem cell - Spleen	3/109	0.06879491420328991	0.2407383205866337	0	0	3.283185349611543	8.787857490887482	FCER2;IGLL5;PYROXD1
plasmablast - Spleen	3/109	0.06879491420328991	0.2407383205866337	0	0	3.283185349611543	8.787857490887482	FCER2;IGLL5;BLNK
Double Negative Thymocyte 4 - Thoracic Thymus	3/110	0.07029310135992146	0.2407383205866337	0	0	3.2523364485981308	8.635218715080857	LCK;CD3G;CD3D
Mature CD4 Single-Positive thymocyte - Thoracic Thymus	3/110	0.07029310135992146	0.2407383205866337	0	0	3.2523364485981308	8.635218715080857	RTP4;CD3G;CD3D
Neuro-Medullary Thymic Epithelial cell - Thoracic Thymus	3/110	0.07029310135992146	0.2407383205866337	0	0	3.2523364485981308	8.635218715080857	CYP2U1;SLC25A4;ENKD1
Plasma cell - Spleen	3/110	0.07029310135992146	0.2407383205866337	0	0	3.2523364485981308	8.635218715080857	FCER2;IGLL5;BLNK
Transitional Stage B cell - Spleen	3/112	0.07333347078231427	0.24894783502417211	0	0	3.1923367512142473	8.340740007952688	FCER2;IGLL5;BLNK
pericyte - Heart	2/100	0.2143889182893297	0.47457352093090877	0	0	2.3545769184866927	3.6259626023678013	LBH;SLC25A4
Dendritic Cell, human - Kidney	2/100	0.2143889182893297	0.47457352093090877	0	0	2.3545769184866927	3.6259626023678013	IGLL5;CD3D
CD1c-positive Myeloid Dendritic cell - Liver	2/101	0.21756139094133123	0.47457352093090877	0	0	2.330675172780436	3.5549187354439638	FCER2;KLRF1
Plasmacytoid Dendritic cell - Liver	2/101	0.21756139094133123	0.47457352093090877	0	0	2.330675172780436	3.5549187354439638	PDE1B;IL12RB1
Multinuclear osteoclast - Knee	2/101	0.21756139094133123	0.47457352093090877	0	0	2.330675172780436	3.5549187354439638	GALNT12;OSBPL3
Diffuse Bipolar 1 (DB1) - Eye	2/101	0.21756139094133123	0.47457352093090877	0	0	2.330675172780436	3.5549187354439638	EDN2;KIR2DL4
Melanocyte Of skin - Skin	2/101	0.21756139094133123	0.47457352093090877	0	0	2.330675172780436	3.5549187354439638	CRTAC1;BTK
Endo L2-5 NOSTRIN SRGN - Brain	2/101	0.21756139094133123	0.47457352093090877	0	0	2.330675172780436	3.5549187354439638	PAQR6;CRTAC1
Flat Epithelial cells - Pancreas	2/101	0.21756139094133123	0.47457352093090877	0	0	2.330675172780436	3.5549187354439638	RTP4;EPN3
Cytotoxic T cell - Kidney	2/101	0.21756139094133123	0.47457352093090877	0	0	2.330675172780436	3.5549187354439638	IL12RB1;CD3D
Club Cell Of Prostatic urethra - Prostate Gland	2/101	0.21756139094133123	0.47457352093090877	0	0	2.330675172780436	3.5549187354439638	RTP4;CRTAC1
Endothelial cells - Small Intestine	2/102	0.22073805340247554	0.47457352093090877	0	0	2.307251461988304	3.485746039419235	PYGL;MYLK
endoethlial - Small Intestine	2/102	0.22073805340247554	0.47457352093090877	0	0	2.307251461988304	3.485746039419235	PYGL;MYLK
Centrilobular Region hepatocyte - Liver	2/102	0.22073805340247554	0.47457352093090877	0	0	2.307251461988304	3.485746039419235	ARNT;PYGL
Pulmonary Venous Endothelial cell - Respiratory System	2/102	0.22073805340247554	0.47457352093090877	0	0	2.307251461988304	3.485746039419235	IGLL5;CRTAC1
Mesothelial Cell Of Visceral pleura - Respiratory System	2/102	0.22073805340247554	0.47457352093090877	0	0	2.307251461988304	3.485746039419235	SERPINF2;CTSE
granulocyte - Respiratory System	2/102	0.22073805340247554	0.47457352093090877	0	0	2.307251461988304	3.485746039419235	BTK;CD3D
Central Memory CD4-positive, Alpha-Beta T cell - Respiratory System	2/102	0.22073805340247554	0.47457352093090877	0	0	2.307251461988304	3.485746039419235	CD3G;CD3D
