Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Mature Natural Killer cell - Blood	6/102	5.065011003233289E-4	0.24767903805810781	0	0	6.4828947368421055	49.19210193795506	FCMR;LBH;CD6;CXCR3;CD3G;IL12RB1
lymphocyte - Uterus	5/102	0.0033202831060190558	0.3677161125083474	0	0	5.318454148000216	30.35616853899422	WDR1;AFF3;PLXDC2;PDE8A;MYLK
Effector Memory CD8-positive, Alpha-Beta T Cell, Terminally differentiated - Blood	5/102	0.0033202831060190558	0.3677161125083474	0	0	5.318454148000216	30.35616853899422	FCMR;LBH;CD6;CD3G;IL12RB1
Exc L5 FEZF2 RNF144A-AS1 - Brain	5/103	0.0034624658424054293	0.3677161125083474	0	0	5.2639170851586705	29.824165993805217	SLC35A3;FAM151B;NUBPL;TCEANC;MTO1
CD8 T Cell memory - Blood	5/105	0.0037598784510055974	0.3677161125083474	0	0	5.158115183246073	28.799658601876533	FCMR;LBH;CD6;CXCR3;IL12RB1
T-helper 17 cell - Thoracic Thymus	5/110	0.004582908683685125	0.3735070577203377	0	0	4.911244078783346	26.449118955933624	DIS3L;NLRP2;CD3G;IL12RB1;RNF185
Secretory cell - Skin	4/101	0.01747766657206064	0.4222392420404648	0	0	4.232603092783505	17.128631137564543	CACNB1;NLGN2;PITPNM2;A4GALT
neutrophil - Skin	4/102	0.018055520070708257	0.4222392420404648	0	0	4.1892006802721085	16.816724292997865	CD6;CD3G;MS4A2;IL12RB1
Perivascular Support cell - Uterus	4/102	0.018055520070708257	0.4222392420404648	0	0	4.1892006802721085	16.816724292997865	LAMP1;WDR1;CALD1;MYLK
Secretory Epithelial cell - Fallopian Tube	4/102	0.018055520070708257	0.4222392420404648	0	0	4.1892006802721085	16.816724292997865	IL22RA1;LBH;SEMA3B;C19ORF33
Sympathetic neuron - Lymph Node	4/102	0.018055520070708257	0.4222392420404648	0	0	4.1892006802721085	16.816724292997865	FSCN1;A4GALT;LRRC20;TJP2
VLMC L1-5 PDGFRA COLEC12 - Brain	4/102	0.018055520070708257	0.4222392420404648	0	0	4.1892006802721085	16.816724292997865	CPQ;PNPLA4;PLXDC2;FSTL1
Naive Thymus-Derived CD4-positive, Alpha-Beta T cell - Blood	4/102	0.018055520070708257	0.4222392420404648	0	0	4.1892006802721085	16.816724292997865	FCMR;LBH;CD6;CD3G
Naive Thymus-Derived CD8-positive, Alpha-Beta T cell - Blood	4/102	0.018055520070708257	0.4222392420404648	0	0	4.1892006802721085	16.816724292997865	FCMR;LBH;CD6;CD3G
Mature CD8 T cell - Blood	4/102	0.018055520070708257	0.4222392420404648	0	0	4.1892006802721085	16.816724292997865	FCMR;LBH;CD6;CD3G
Inh L1 PVALB SST ASIC4 - Brain	4/103	0.01864513954111841	0.4222392420404648	0	0	4.146675084175084	16.512764212969625	SLC35A3;NUBPL;SBF2;ZNF101
Inh L1-5 VIP LINC01013 - Brain	4/103	0.01864513954111841	0.4222392420404648	0	0	4.146675084175084	16.512764212969625	SLC35A3;SBF2;MTO1;ZNF101
Inh L5 PVALB LRIG3 - Brain	4/103	0.01864513954111841	0.4222392420404648	0	0	4.146675084175084	16.512764212969625	SLC35A3;SBF2;MTO1;ZNF26
pro-B cell - Bone Marrow	4/103	0.01864513954111841	0.4222392420404648	0	0	4.146675084175084	16.512764212969625	FCMR;GRK5;PITPNM2;IKZF2
Exc L5-6 FEZF2 OR1L8 - Brain	4/104	0.01924658731645098	0.4222392420404648	0	0	4.105	16.21648032411179	HEATR5B;ENDOD1;RGS9;TJP2
Effector CD8-positive, Alpha-Beta T cell - Blood	4/104	0.01924658731645098	0.4222392420404648	0	0	4.105	16.21648032411179	FCMR;LBH;CD6;CD3G
Uterine Smooth Muscle cell - Uterus	4/105	0.019859923449756015	0.4222392420404648	0	0	4.0641501650165015	15.927613698285606	WDR1;CALD1;MYLK;HLA-E
Regulatory T cell - Blood	4/105	0.019859923449756015	0.4222392420404648	0	0	4.0641501650165015	15.927613698285606	FCMR;LBH;CD6;CD3G
Gamma-Delta T cell - Thoracic Thymus	4/108	0.021771828718165513	0.4436010101326223	0	0	3.9463141025641026	15.103090262130806	TRABD;C21ORF58;CD3G;IKZF2
CD4 T Cell Effector Memory CD45RA - Blood	4/110	0.02310687356137052	0.4519704468604073	0	0	3.8714622641509435	14.586218589611827	FCMR;LBH;CD6;CD3G
CD4 T Cell memory - Blood	4/117	0.0281660409806263	0.5297382322894715	0	0	3.6303466076696167	12.959024101473352	FCMR;LBH;CD6;CD3G
Semilunar Type 3 cell - Eye	3/101	0.07705662727962476	0.6564671237691165	0	0	3.1256212329491384	8.011638316559795	KCNK10;PLXDC2;BMP7
Blue Cone Bipolar cell - Eye	3/101	0.07705662727962476	0.6564671237691165	0	0	3.1256212329491384	8.011638316559795	KCNK10;PLXDC2;BMP7
Invaginating Bipolar cell - Eye	3/101	0.07705662727962476	0.6564671237691165	0	0	3.1256212329491384	8.011638316559795	KCNK10;PLXDC2;BMP7
Secondary Lens fiber - Eye	3/101	0.07705662727962476	0.6564671237691165	0	0	3.1256212329491384	8.011638316559795	NPW;DOHH;LRCH4
Corneal Endothelial cell - Eye	3/101	0.07705662727962476	0.6564671237691165	0	0	3.1256212329491384	8.011638316559795	SACS;ZBTB33;FSTL1
T cell - Kidney	3/101	0.07705662727962476	0.6564671237691165	0	0	3.1256212329491384	8.011638316559795	CXCR3;CD3G;IL12RB1
Regulatory CD4+ T - Small Intestine	3/102	0.07884454120211871	0.6564671237691165	0	0	3.0938922907834825	7.859344039737048	FCMR;CD4;LBH
Endothelial cells - Small Intestine	3/102	0.07884454120211871	0.6564671237691165	0	0	3.0938922907834825	7.859344039737048	SH3RF3;PYGL;MYLK
endoethlial - Small Intestine	3/102	0.07884454120211871	0.6564671237691165	0	0	3.0938922907834825	7.859344039737048	SH3RF3;PYGL;MYLK
Vascular Associated Smooth Muscle cell - Skin	3/102	0.07884454120211871	0.6564671237691165	0	0	3.0938922907834825	7.859344039737048	CALD1;FSTL1;MYLK
Monocyte-Derived DC - Spleen	3/102	0.07884454120211871	0.6564671237691165	0	0	3.0938922907834825	7.859344039737048	RASSF4;EPB41L3;TLR2
