Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Effector Memory CD8-positive, Alpha-Beta T Cell, Terminally differentiated - Blood	4/102	1.657823674426373E-4	0.007746790949621992	0	0	16.202448979591836	141.03963960469565	LCK;KLRF1;CD3G;CD3D
Mature CD8 T cell - Blood	4/102	1.657823674426373E-4	0.007746790949621992	0	0	16.202448979591836	141.03963960469565	LCK;KLRF1;CD3G;CD3D
Mature Natural Killer cell - Blood	4/102	1.657823674426373E-4	0.007746790949621992	0	0	16.202448979591836	141.03963960469565	LCK;KLRF1;CD3G;CD3D
CD16-negative, CD56-bright Natural Killer cell - Blood	4/103	1.7213716607039967E-4	0.007746790949621992	0	0	16.037979797979798	139.00468197270968	LCK;KLRF1;CD3G;CD3D
CD4 naive - Bone Marrow	4/104	1.786661621004991E-4	0.007746790949621992	0	0	15.8768	137.01664920009264	LCK;KLRF1;CD3G;CD3D
Gamma-Delta T cell - Thoracic Thymus	4/108	2.0658109198991978E-4	0.007746790949621992	0	0	15.263076923076923	129.50442256785368	TRABD;LCK;CD3G;CD3D
Naive Thymus-Derived CD4-positive, Alpha-Beta T cell - Blood	3/102	0.0026451820800154568	0.02105244103908433	0	0	11.79263220439691	69.9894534650505	LCK;CD3G;CD3D
Naive Thymus-Derived CD8-positive, Alpha-Beta T cell - Blood	3/102	0.0026451820800154568	0.02105244103908433	0	0	11.79263220439691	69.9894534650505	LCK;CD3G;CD3D
CD8 T Cell Effector memory - Bone Marrow	3/102	0.0026451820800154568	0.02105244103908433	0	0	11.79263220439691	69.9894534650505	LCK;KLRF1;CD3D
Mature Natural Killer cell - Bone Marrow	3/102	0.0026451820800154568	0.02105244103908433	0	0	11.79263220439691	69.9894534650505	LCK;KLRF1;CD3D
lymphocyte - Heart	3/102	0.0026451820800154568	0.02105244103908433	0	0	11.79263220439691	69.9894534650505	LCK;KLRF1;CD3D
CD16-negative, CD56-bright Natural Killer cell - Bone Marrow	3/103	0.00271937373672658	0.02105244103908433	0	0	11.674117647058823	68.96314171509846	LCK;KLRF1;CD3D
Effector CD8-positive, Alpha-Beta T cell - Blood	3/104	0.0027948406111328473	0.02105244103908433	0	0	11.557949912638323	67.96051664386877	LCK;CD3G;CD3D
