"","degree.mst.","ID","closeness_centrality","betweeness_centrality","eigen_centrality","community"
"1",10,"FCER2",0.00129376274618424,11530,1,1
"2",3,"C5orf24",0.00113318926387225,371,0.346416917263229,1
"3",2,"CARM1",0.00113481327469344,552,0.317398419233018,1
"4",1,"CCDC74B",0.000906998967430332,0,0.0321544234688715,1
"5",1,"DNAJB5",0.00100524235784888,0,0.100294468194625,1
"6",1,"GABPB2",0.00100288772797249,0,0.0921546046054148,1
"7",1,"GTPBP4",0.00112997848846604,0,0.288781035775531,1
"8",1,"LYRM7",0.00103212048996104,0,0.112165204320397,1
"9",2,"MLLT1",0.000907690186094171,186,0.0318111710526208,1
"10",1,"NDUFAF5",0.00113051016520844,0,0.287708221989486,1
"11",2,"OSBPL3",0.0011351010992461,552,0.320041130977801,1
"12",3,"PRDM1",0.0010093306692036,371,0.111596214426335,1
"13",1,"RNPS1",0.00103182111429308,0,0.112447291185436,1
"14",4,"SLC49A4",0.00116672369275379,3815,0.389295913440756,1
"15",1,"SNRNP40",0.0010055947334282,0,0.0999832016421949,1
"16",1,"SPNS2",0.000904478980353705,0,0.0330380400063823,1
"17",1,"TMEM14C",0.0011304564958152,0,0.287816469941937,1
"18",2,"VPS11",0.00113061454407068,186,0.317380696011194,1
"19",1,"VSIG10L2",0.000823681761755294,0,0.00921354447748681,1
"20",2,"ZNF107",0.00100944701516816,370,0.10070937494366,1
"21",1,"ABCB7",0.000962095313266686,0,0.0529525267181111,2
"22",2,"CAPN12",0.00100422648496883,186,0.0725109698809715,2
"23",1,"GTF2H5",0.000900414161559042,0,0.0214585299946477,2
"24",1,"IRF1",0.00100343637335663,0,0.0659111077113962,2
"25",2,"KIAA0513",0.00107741592878537,186,0.185355438574691,2
"26",4,"MRPL24",0.00113034963950366,5537,0.228524569266164,2
"27",2,"MTO1",0.00107813382150621,186,0.183634378729079,2
"28",1,"POLR2C",0.000963886399070925,0,0.0580432186011579,2
"29",6,"POLR2D",0.00122518422833095,8257,0.580421351727279,2
"30",1,"SCAF4",0.000959392028509314,0,0.0545528103248797,2
"31",1,"TSPOAP1",0.000962329414068028,0,0.058913505667048,2
"32",2,"UBE2V2",0.00104395705974706,4960,0.0742564805599745,2
"33",3,"ZNF267",0.00108047748525208,371,0.20114367564434,2
"34",4,"ABCD1",0.00077406096282004,3302,0.00141653192506065,3
