"","degree.mst.","ID","closeness_centrality","betweeness_centrality","eigen_centrality","community"
"1",7,"miR-150-3p",0.00107590828527038,3803,0.0165367803288199,1
"2",1,"ASB11",0.000965617891547319,0,0.0050801226047522,1
"3",1,"BTK",0.0010817865602161,0,0.0143345331231926,1
"4",1,"C17orf58",0.000968370390819413,0,0.00493925943088208,1
"5",2,"CD3G",0.000989195507326721,2772,0.00674414375284647,1
"6",1,"GRK5",0.000881358507219977,0,0.00161786955587264,1
"7",1,"HMGB3",0.00096871266084484,0,0.00492179922131826,1
"8",1,"LBH",0.000968517386307009,0,0.00493175924300297,1
"9",3,"SIK3",0.00116714200945343,3941,0.0233025273129379,1
"10",1,"TRUB2",0.0011244241369093,0,0.0163585892526454,1
"11",2,"UVRAG",0.000969246515647385,171,0.00543418755457448,1
"12",2,"WDR1",0.00121911870773007,171,0.0475699629560704,1
"13",1,"FASLG",0.00104232185832191,0,0.00691876036048743,1
"14",3,"SF3A3",0.00139134772191662,4540,0.145475724750405,1
"15",3,"SSTR2",0.00127130864879568,4175,0.0550154791025635,1
"16",1,"miR-3940-3p",0.00109559931631469,0,0.0550417866427063,2
"17",3,"miR-424-3p",0.00109302783661409,341,0.0525267886987723,2
"18",1,"RBBP5",0.000988037524038144,0,0.0201611390466496,2
"19",2,"ARNT",0.00109719355334737,171,0.0606865638221458,2
"20",2,"CRTAC1",0.00122488461726701,171,0.141924467095239,2
"21",1,"D2HGDH",0.000897055765267956,0,0.00666136348993341,2
"22",2,"DNAJB5",0.0012283322535835,507,0.144831741960567,2
"23",1,"EDN2",0.000982691476662356,0,0.0156141086202073,2
"24",2,"IGLL5",0.000989270485814221,171,0.0221529346720904,2
"25",1,"MRO",0.000982895284552477,0,0.0186126326799312,2
"26",1,"OR2B2",0.0010861370988128,0,0.0428320413604126,2
"27",4,"POU3F3",0.00123539696997594,1169,0.184155553128736,2
"28",4,"RTN1",0.0013990650602324,2268,0.433452112268595,2
"29",1,"SLC39A3",0.000982744300008501,0,0.0156057945221679,2
"30",3,"TARS2",0.00109996501509982,509,0.0676494861141104,2
"31",1,"miR-125b-5p",0.000890112347288863,0,0.00441982041583201,3
