"","degree.mst.","ID","closeness_centrality","betweeness_centrality","eigen_centrality","community"
"1",17,"miR-150-3p",0.00160949993001319,13355,1,1
"2",2,"ALDH3B2",0.00136076868066,576,0.25216751688168,1
"3",1,"ASTE1",0.00116844620868446,0,0.0598483060537078,1
"4",1,"C9orf64",0.00103311601558664,0,0.0159829076733995,1
"5",1,"CPQ",0.00135392474281954,0,0.236355977196694,1
"6",1,"EGFL6",0.00135341878091975,0,0.23691242506122,1
"7",2,"ERICH1",0.00135529136532677,194,0.251601024393358,1
"8",1,"FSTL1",0.00135516179575863,0,0.234997238325575,1
"9",1,"GPR50",0.00117219255517726,0,0.0626312738851474,1
"10",1,"GRK5",0.00117230071845405,0,0.0625890661621137,1
"11",1,"HMGB3",0.00135502217992484,0,0.235150463635939,1
"12",3,"IL21R",0.00117614352570762,387,0.0673770883862239,1
"13",1,"NLRP2",0.00135209600560195,0,0.238369157339097,1
"14",2,"NSUN3",0.0013567845293366,194,0.249976617066262,1
"15",1,"SIK3",0.00135538684033291,0,0.234750323298499,1
"16",1,"SLC66A3",0.00135508789512172,0,0.235078338717891,1
"17",1,"SNRNP35",0.00116802625171307,0,0.0599815103810825,1
"18",3,"UVRAG",0.00135813724723489,387,0.266082730821035,1
"19",1,"ZNF543",0.00103416487356318,0,0.0158496097334825,1
"20",1,"ZNF813",0.00135482343016199,0,0.235368641610433,1
"21",1,"A4GALT",0.000877940521469829,0,0.00122925765461277,2
"22",2,"CAMKMT",0.000978235428797214,194,0.0052232297925354,2
"23",2,"LIN52",0.000879189841889011,194,0.00131677902652659,2
"24",1,"PYGL",0.000796773926659888,0,0.000312204817357162,2
"25",1,"RNF183",0.000799475139335534,0,0.00032707646546235,2
"26",1,"SOCS5",0.000799893763751135,0,0.000325247728765984,2
"27",3,"TMEM232",0.000882036515734513,387,0.00138621473370955,2
"28",2,"TNFSF9",0.00098073910180085,576,0.00525046039321313,2
"29",2,"UBE4A",0.000979159412066706,386,0.00525557514262761,2
"30",4,"ZBTB21",0.00110276801630732,1700,0.0209895783116294,2
"31",1,"AFF3",0.000749244805632164,0,2.39948993795318e-05,3
"32",1,"DCPS",0.00113283591302196,0,0.00574945138815474,3
